Suburb,Postcode,State,Country,Latitude,Longitude
Hughes,0822,Northern Territory,Australia,-12.70074,131.09814
Kakadu,0822,Northern Territory,Australia,-12.86849917,132.4739783
Koolpinyah,0822,Northern Territory,Australia,-12.69778888,130.8458714
Lake Bennett,0822,Northern Territory,Australia,-12.69778888,130.8458714
Lambells Lagoon,0822,Northern Territory,Australia,-12.5845,131.25031
Litchfield Park,0822,Northern Territory,Australia,-12.69778888,130.8458714
Livingstone,0822,Northern Territory,Australia,-12.68143,131.0741
Lloyd Creek,0822,Northern Territory,Australia,-12.67674,131.13384
Mandorah,0822,Northern Territory,Australia,-12.44567,130.75739
Maningrida,0822,Northern Territory,Australia,-12.06736,134.08659
Mapuru,0822,Northern Territory,Australia,-12.69778888,130.8458714
Maranunga,0822,Northern Territory,Australia,-12.69778888,130.8458714
Margaret River,0822,Northern Territory,Australia,-12.69778888,130.8458714
Marrakai,0822,Northern Territory,Australia,-12.75053,131.48056
Mcminns Lagoon,0822,Northern Territory,Australia,-12.55397,131.111649
Mickett Creek,0822,Northern Territory,Australia,-12.69778888,130.8458714
Middle Point,0822,Northern Territory,Australia,-12.69778888,130.8458714
Milikapiti,0822,Northern Territory,Australia,-11.42551,130.67485
Milingimbi,0822,Northern Territory,Australia,-12.10188,134.919006
Milyakburra,0822,Northern Territory,Australia,-13.77938941,136.2019422
Minjilang,0822,Northern Territory,Australia,-11.158406,132.545279
Mount Bundey,0822,Northern Territory,Australia,-12.69778888,130.8458714
Murrumujuk,0822,Northern Territory,Australia,-12.26095,131.0717
Nauiyu,0822,Northern Territory,Australia,-13.74250225,130.6955509
Nemarluk,0822,Northern Territory,Australia,-14.27680592,130.3758609
Nganmarriyanga,0822,Northern Territory,Australia,-14.3349688,129.8834923
Nguiu,0822,Northern Territory,Australia,-11.76036086,130.6360245
Numbulwar,0822,Northern Territory,Australia,-14.2761111,135.7372222
Numburindi,0822,Northern Territory,Australia,-13.92926812,135.704026
Oenpelli,0822,Northern Territory,Australia,-12.32373,133.05757
Peppimenarti,0822,Northern Territory,Australia,-14.1555,130.081528
Pirlangimpi,0822,Northern Territory,Australia,-11.40297,130.429
Point Stephens,0822,Northern Territory,Australia,-12.69778888,130.8458714
Point Stuart,0822,Northern Territory,Australia,-12.69778888,130.8458714
Pularumpi,0822,Northern Territory,Australia,-11.40486,130.41557
Rakula,0822,Northern Territory,Australia,-12.69778888,130.8458714
Ramingining,0822,Northern Territory,Australia,-13.06162713,132.8033925
Robin Falls,0822,Northern Territory,Australia,-12.69778888,130.8458714
Rum Jungle,0822,Northern Territory,Australia,-12.69778888,130.8458714
Sandpalms Roadhouse,0822,Northern Territory,Australia,-12.69778888,130.8458714
Southport,0822,Northern Territory,Australia,-12.72184,130.95145
Stapleton,0822,Northern Territory,Australia,-12.69778888,130.8458714
Thamarrurr,0822,Northern Territory,Australia,-14.20322352,129.7051534
Tipperary,0822,Northern Territory,Australia,-12.69778888,130.8458714
